"Rank","Root Domain","Linking Root Domains","Domain Authority"
"1","www.blogger.com","30,167,201","100"
"2","www.google.com","14,489,187","100"
"3","youtube.com","22,689,548","100"
"4","support.google.com","5,467,244","99"
"5","microsoft.com","5,230,954","99"
"6","play.google.com","3,845,677","99"
"7","apple.com","6,513,850","99"
"8","linkedin.com","12,021,511","99"
"9","mozilla.org","2,418,426","98"
"10","cloudflare.com","6,538,268","98"
"11","docs.google.com","3,322,431","98"
"12","maps.google.com","5,888,777","98"
"13","wordpress.org","11,986,625","98"
"14","en.wikipedia.org","6,986,543","98"
"15","youtu.be","5,172,229","98"
"16","bp.blogspot.com","17,914,718","97"
"17","europa.eu","2,258,789","97"
"18","plus.google.com","11,043,213","97"
"19","accounts.google.com","2,535,568","97"
"20","sites.google.com","2,236,414","97"
"21","googleusercontent.com","3,445,714","97"
"22","drive.google.com","2,448,145","97"
"23","whatsapp.com","3,778,304","97"
"24","adobe.com","2,858,863","97"
"25","github.com","2,879,906","96"
"26","t.me","1,265,171","96"
"27","facebook.com","58,758,061","96"
"28","istockphoto.com","3,628,288","96"
"29","vk.com","1,792,872","96"
"30","policies.google.com","2,794,836","96"
"31","uol.com.br","686,976","96"
"32","vimeo.com","3,549,874","96"
"33","amazon.com","4,973,252","96"
"34","ok.ru","365,183","95"
"35","search.google.com","1,520,086","95"
"36","nytimes.com","2,190,693","95"
"37","terra.com.br","200,455","95"
"38","feedburner.com","1,837,342","95"
"39","youronlinechoices.com","578,845","95"
"40","www.weebly.com","5,321,465","95"
"41","nih.gov","1,472,470","95"
"42","gstatic.com","629,457","95"
"43","fr.wikipedia.org","639,142","95"
"44","pt.wikipedia.org","419,312","95"
"45","theguardian.com","1,584,781","95"
"46","who.int","2,018,354","95"
"47","news.google.com","815,576","95"
"48","slideshare.net","1,005,879","95"
"49","w3.org","1,131,037","95"
"50","issuu.com","1,002,621","95"
"51","paypal.com","1,140,781","95"
"52","jimdofree.com","1,716,030","95"
"53","brandbucket.com","11,132,105","95"
"54","google.co.jp","656,530","95"
"55","enable-javascript.com","9,463,961","95"
"56","cnn.com","1,645,052","95"
"57","bbc.com","911,525","95"
"58","creativecommons.org","1,735,716","95"
"59","wikimedia.org","2,055,005","95"
"60","files.wordpress.com","7,653,962","95"
"61","www.yahoo.com","1,350,097","95"
"62","globo.com","455,987","95"
"63","line.me","915,037","95"
"64","gravatar.com","12,414,481","95"
"65","google.de","1,117,465","95"
"66","dropbox.com","1,104,125","95"
"67","shopify.com","2,617,511","95"
"68","live.com","976,916","95"
"69","opera.com","960,375","95"
"70","bbc.co.uk","1,739,582","95"
"71","es.wikipedia.org","966,616","95"
"72","medium.com","1,765,883","95"
"73","tools.google.com","1,754,985","95"
"74","buydomains.com","1,077,060","95"
"75","developers.google.com","1,121,228","95"
"76","google.es","477,891","95"
"77","dailymotion.com","1,133,398","95"
"78","draft.blogger.com","11,179,047","95"
"79","google.com.br","296,607","95"
"80","imdb.com","1,523,747","95"
"81","google.it","441,456","94"
"82","pinterest.com","8,650,670","94"
"83","telegraph.co.uk","1,007,391","94"
"84","researchgate.net","730,180","94"
"85","instagram.com","27,548,995","94"
